2025/07/04 10:16:41 [error] 26123#26123: *232 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624201 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:16:41 [error] 26124#26124: *238 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624201 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:16:42 [error] 26124#26124: *244 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624202 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:16:42 [error] 26123#26123: *249 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624202 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:18:59 [error] 26124#26124: *262 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624339 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:19:02 [error] 26123#26123: *268 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624342 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:20:05 [error] 26123#26123: *277 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624405 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:20:09 [error] 26124#26124: *282 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624409 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:21:14 [error] 26124#26124: *293 open() "/var/www/html/webcam.sebastian-selle.de/bilder/unterwegs.jpg" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /bilder/unterwegs.jpg?t=1751624474 HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/"
2025/07/04 10:23:23 [error] 26123#26123: *333 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
